track_name,artist_name,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,is_hit,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Lo Que Tú y Yo Vivimos (feat. Gente de Zona) - Ao Vivo,Gusttavo Lima,92.013,0.915,0.673,0.41,0.224,0.0,0.933,0.102,-4.002,0,0.664355,0.72398,1.3396778916544656,1.0,1.0,0.9332999999999999,0.698098,0.44799999999999995,1.0
Se Eu Escapar - Ao Vivo,Maiara & Maraisa,128.0,0.665,0.797,0.921,0.572,0.0,0.281,0.0527,-4.636,0,0.7113333333333334,0.92204,0.8240396530359355,1.0,2.0,0.9227333333333333,0.7947040000000001,0.8560000000000001,1.0
Tudo Ok,Thiaguinho MT,79.975,0.755,0.814,0.963,0.239,0.0,0.306,0.0942,-6.164,1,0.6667916666666666,0.9235599999999999,0.9162621359223302,1.0,0.0,0.8972666666666667,0.837056,0.478,1.0
Amor de Que,Pabllo Vittar,139.988,0.819,0.737,0.904,0.0726,0.0,0.36,0.0446,-5.056,1,0.7475133333333333,0.9110400000000001,1.0963855421686746,1.0,2.0,0.9157333333333334,0.8124040000000001,0.1452,1.0
Surtada - Remix Brega Funk,Dadá Boladão,154.064,0.55,0.832,0.881,0.249,8.17e-06,0.182,0.0587,-7.026,1,0.7377733333333333,0.88214,0.653206650831354,0.99999183,3.0,0.8829,0.7622140000000001,0.498,1.0
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,119.896,0.741,0.72,0.357,0.101,1.41e-05,0.289,0.0287,-6.529,1,0.6821266666666668,0.6775100000000001,1.015068493150685,0.9999859,1.0,0.8911833333333334,0.649451,0.20199999999999996,1.0
Can't Get Over You,KVSH,123.002,0.795,0.714,0.347,0.013,2.33e-05,0.0917,0.0354,-4.621,1,0.7005033333333333,0.6925899999999999,1.0980662983425415,0.9999767,2.0,0.9229833333333333,0.662759,0.026000000000000023,1.0
Parabéns,Pabllo Vittar,170.106,0.856,0.723,0.688,0.00687,2.48e-06,0.397,0.0562,-5.596,1,0.8018099999999999,0.81924,1.1678035470668486,0.99999752,3.0,0.9067333333333333,0.765524,0.013739999999999974,1.0
Tutu - Remix,Camilo,154.111,0.763,0.731,0.865,0.382,7.07e-06,0.0754,0.0433,-3.6,1,0.7512516666666667,0.9099999999999999,1.0296896086369771,0.99999293,3.0,0.94,0.7853,0.764,1.0
Sou Eu,Dennis DJ,106.714,0.784,0.872,0.819,0.281,0.0,0.0703,0.372,-4.126,0,0.7490566666666667,0.88634,0.888888888888889,1.0,1.0,0.9312333333333334,0.836434,0.562,0.0
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,134.012,0.937,0.793,0.827,0.366,4.27e-06,0.962,0.0336,-2.44,1,0.8009533333333333,0.9064,1.1668742216687422,0.99999573,2.0,0.9593333333333334,0.8543400000000001,0.732,1.0
Apimentadíssima,Dennis DJ,149.836,0.824,0.856,0.677,0.225,0.00113,0.0748,0.293,-4.504,0,0.8249266666666667,0.82576,0.951501154734411,0.99887,3.0,0.9249333333333334,0.8075760000000001,0.44999999999999996,1.0
On & On,Alok,125.07,0.776,0.747,0.67,0.0233,1.38e-05,0.761,0.0722,-5.898,1,0.71475,0.8090200000000001,1.025099075297226,0.9999862,2.0,0.9017000000000001,0.7465020000000001,0.046599999999999975,1.0
